我现在给你如下数据：
id	issue	draw_date	red1	red2	red3	red4	red5	red6	blue
1222	18015	2018-02-04	11	15	20	21	26	33	15
1214	18023	2018-03-01	12	15	16	21	26	29	16
1101	18136	2018-11-20	10	12	15	25	26	27	14
1086	18151	2018-12-25	5	15	19	25	26	29	15
1050	19034	2019-03-26	9	11	15	22	24	26	3
1042	19042	2019-04-14	15	17	19	22	25	26	4
1030	19054	2019-05-12	7	10	11	15	24	26	11
1019	19065	2019-06-06	6	9	11	15	20	26	10
1001	19083	2019-07-18	6	15	17	26	28	31	3
979	19105	2019-09-08	2	13	15	17	26	33	1
955	19129	2019-11-10	3	4	7	9	15	26	7
941	19143	2019-12-12	5	13	15	16	26	32	9
932	20001	2020-01-02	2	15	23	26	29	30	2
905	20028	2020-04-23	5	6	15	18	26	32	8
901	20032	2020-05-03	3	11	13	14	15	26	13
899	20034	2020-05-07	2	8	15	16	26	32	3
868	20065	2020-07-19	9	15	18	21	23	26	8
861	20072	2020-08-04	6	8	10	15	17	26	4
811	20122	2020-12-03	12	15	17	24	26	31	15
805	20128	2020-12-17	8	10	15	16	23	26	10
721	21078	2021-07-13	4	6	15	26	27	31	12
711	21088	2021-08-05	4	12	15	16	19	26	6
703	21096	2021-08-24	1	7	11	14	15	26	11
691	21108	2021-09-21	11	15	18	24	26	32	9
669	21130	2021-11-14	8	9	15	24	26	30	6
655	21144	2021-12-16	2	5	13	15	23	26	7
622	22027	2022-03-13	14	15	18	19	26	32	9
592	22057	2022-05-22	12	15	20	26	30	33	16
581	22068	2022-06-16	7	12	15	24	26	29	6
576	22073	2022-06-28	6	10	14	15	26	29	12
535	22114	2022-10-06	1	5	15	19	26	29	13
530	22119	2022-10-18	2	5	15	18	26	27	4
529	22120	2022-10-20	2	15	19	26	27	29	2
523	22126	2022-11-03	1	13	15	17	26	33	13
519	22130	2022-11-13	2	8	15	17	26	28	12
455	23044	2023-04-20	2	8	15	22	24	26	16
445	23054	2023-05-14	5	6	9	10	15	26	12
428	23071	2023-06-22	5	12	15	19	24	26	6
398	23101	2023-08-31	1	5	9	15	18	26	4
385	23114	2023-10-05	7	9	15	16	17	26	9
300	24048	2024-04-30	2	9	15	19	26	28	2
299	24049	2024-05-02	12	15	17	23	26	32	11
225	24123	2024-10-27	2	15	22	26	30	33	4
212	24136	2024-11-26	3	11	15	21	25	26	3
195	25002	2025-01-05	9	12	13	15	22	26	11
110	25087	2025-07-31	2	6	14	15	24	26	8
102	25095	2025-08-19	15	16	22	23	26	32	4
98	25099	2025-08-28	9	11	15	17	22	26	14
53	25144	2025-12-14	1	8	15	20	26	33	13
36	26010	2026-01-22	4	9	10	15	19	26	12

规则如下：
1.red1,red2,red3,red4,red5,red6的数字范围都在[1,33]，并且red1<red2<red3<red4<red5<red6
2.blue的的数字范围都在[1,16]，

请你根据数据和规则找规律，生成5条数据
